Company Report Name,Year,Environmental Score,Social Score,Governance Score,Total Score,Score Classification
CDL_Hospitality_report_,2021,67.5,57.96,69.24,64.99,Average
DRAX-ESG--Supplement,2023,58.64,81.0,70.0,67.62,Average
Maxeon Solar Technologies,2022,60.27,69.47,62.42,63.46,Average
ST-Engineering-Sustainability-Report,2020,65.33,65.56,61.35,64.6,Average
ST-Engineering-Sustainability-Report-,2021,48.82,67.69,70.47,58.81,Average
ST-Engineering-Sustainability-Report-,2022,56.0,60.0,68.31,59.66,Average
Vena-Energy-Sustainability-Report-_HighRes,2023,58.81,63.66,63.58,61.22,Average
Vena-Energy-Sustainability-Report-_LowRes,2022,55.28,66.79,59.49,59.57,Average
st-engineering-sustainability-report-,2019,56.67,66.04,70.0,62.15,Average
